"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 09 18:43:02 MSK 2024","Fri Aug 09 18:43:04 MSK 2024","1783","","UserOrdersTest","","UserOrdersTest","getOrdersWithoutAuth","Получение заказов без авторизации",""
"passed","Fri Aug 09 18:42:38 MSK 2024","Fri Aug 09 18:42:49 MSK 2024","11636","","OrderCreationTest","","OrderCreationTest","createOrderWithNoIngredients","Создание заказа без ингредиентов",""
"passed","Fri Aug 09 18:42:58 MSK 2024","Fri Aug 09 18:42:59 MSK 2024","1413","","UserCreationTest","","UserCreationTest","createUniqueUser","Создание уникального пользователя",""
"passed","Fri Aug 09 18:43:02 MSK 2024","Fri Aug 09 18:43:02 MSK 2024","503","","UserLoginTest","","UserLoginTest","loginWithInvalidCredentials","Логин с некорректными учетными данными",""
"passed","Fri Aug 09 18:43:01 MSK 2024","Fri Aug 09 18:43:02 MSK 2024","1060","","UserLoginTest","","UserLoginTest","loginWithValidCredentials","Логин с корректными учетными данными",""
"passed","Fri Aug 09 18:43:06 MSK 2024","Fri Aug 09 18:43:08 MSK 2024","1865","","UserUpdateTest","","UserUpdateTest","updateUserWithoutAuth","Обновление данных пользователя без авторизации",""
"passed","Fri Aug 09 18:43:04 MSK 2024","Fri Aug 09 18:43:06 MSK 2024","1904","","UserOrdersTest","","UserOrdersTest","getOrdersWithAuth","Получение заказов с авторизацией",""
"broken","Fri Aug 09 18:42:53 MSK 2024","Fri Aug 09 18:42:55 MSK 2024","2011","","OrderCreationTest","","OrderCreationTest","createOrderWithoutAuth","Создание заказа без авторизации",""
"passed","Fri Aug 09 18:43:08 MSK 2024","Fri Aug 09 18:43:10 MSK 2024","1862","","UserUpdateTest","","UserUpdateTest","updateUserWithAuth","Обновление данных пользователя с авторизацией",""
"passed","Fri Aug 09 18:42:59 MSK 2024","Fri Aug 09 18:43:00 MSK 2024","972","","UserCreationTest","","UserCreationTest","createExistingUser","Создание пользователя, который уже зарегистрирован",""
"passed","Fri Aug 09 18:42:55 MSK 2024","Fri Aug 09 18:42:58 MSK 2024","2445","","OrderCreationTest","","OrderCreationTest","createOrderWithInvalidIngredient","Создание заказа с невалидным хешем ингредиентов",""
"passed","Fri Aug 09 18:42:49 MSK 2024","Fri Aug 09 18:42:53 MSK 2024","3761","","OrderCreationTest","","OrderCreationTest","createOrderWithAuth","Создание заказа с авторизацией",""
"failed","Fri Aug 09 18:43:00 MSK 2024","Fri Aug 09 18:43:01 MSK 2024","561","","UserCreationTest","","UserCreationTest","createUserWithMissingField","Создание пользователя с пропущенным обязательным полем",""
